分类: 📡卫视频道, 名称: 安徽卫视, 有效: 11, IPv4: 29, IPv6: 0, 最小延迟: 62 ms, 最高速率: 17.16 M/s, 平均速率: 6.39 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 重庆卫视, 有效: 11, IPv4: 30, IPv6: 0, 最小延迟: 38 ms, 最高速率: 25.93 M/s, 平均速率: 6.55 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.71, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 东方卫视, 有效: 10, IPv4: 34, IPv6: 0, 最小延迟: 71 ms, 最高速率: 13.45 M/s, 平均速率: 7.91 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.71, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 东南卫视, 有效: 10, IPv4: 28, IPv6: 0, 最小延迟: 72 ms, 最高速率: 13.13 M/s, 平均速率: 5.68 M/s, 最高分辨率: 1920x1080, 平均帧率: 38.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 5, IPv4: 19, IPv6: 0, 最小延迟: 615 ms, 最高速率: 5.40 M/s, 平均速率: 3.38 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 广西卫视, 有效: 10, IPv4: 27, IPv6: 0, 最小延迟: 33 ms, 最高速率: 30.33 M/s, 平均速率: 9.53 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 7, IPv4: 29, IPv6: 0, 最小延迟: 31 ms, 最高速率: 30.53 M/s, 平均速率: 12.81 M/s, 最高分辨率: 1920x1080, 平均帧率: 46.67, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 海南卫视, 有效: 10, IPv4: 21, IPv6: 0, 最小延迟: 31 ms, 最高速率: 32.61 M/s, 平均速率: 15.67 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 河北卫视, 有效: 10, IPv4: 31, IPv6: 0, 最小延迟: 68 ms, 最高速率: 14.70 M/s, 平均速率: 7.67 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 河南卫视, 有效: 10, IPv4: 28, IPv6: 0, 最小延迟: 69 ms, 最高速率: 14.26 M/s, 平均速率: 7.81 M/s, 最高分辨率: 1920x1080, 平均帧率: 43.75, 视频编解码器: h264, 音频编解码器: mp2
